Time,Device name,c8y_SensorTagTemperature => Temperature,c8y_SensorTagLuxometer => Luxometer,c8y_SensorTagHumidity => Humidity
2023-02-25T16:48:18.000+08:00,SensorTag,N/A,N/A,50.89951934081025
2023-02-25T16:48:18.000+08:00,SensorTag,N/A,300,N/A
2023-02-25T16:48:20.000+08:00,SensorTag,N/A,258,N/A
2023-02-25T16:48:20.000+08:00,SensorTag,28.4,N/A,N/A
2023-02-25T16:48:20.000+08:00,SensorTag,N/A,N/A,50.299839780270084
2023-02-25T16:48:22.000+08:00,SensorTag,N/A,270,N/A
2023-02-25T16:48:22.000+08:00,SensorTag,N/A,N/A,50.20065613794156
2023-02-25T16:48:22.000+08:00,SensorTag,27.8,N/A,N/A
2023-02-25T16:48:24.000+08:00,SensorTag,N/A,N/A,49.90005340657664
2023-02-25T16:48:24.000+08:00,SensorTag,N/A,264,N/A
2023-02-25T16:48:24.000+08:00,SensorTag,27.2,N/A,N/A
2023-02-25T16:48:26.000+08:00,SensorTag,N/A,N/A,49.59945067521172
2023-02-25T16:48:26.000+08:00,SensorTag,27,N/A,N/A
2023-02-25T16:48:26.000+08:00,SensorTag,N/A,282,N/A
2023-02-25T16:48:28.000+08:00,SensorTag,26.2,N/A,N/A
2023-02-25T16:48:28.000+08:00,SensorTag,N/A,N/A,49.500267032883194
2023-02-25T16:48:28.000+08:00,SensorTag,N/A,300,N/A
2023-02-25T16:48:32.000+08:00,SensorTag,N/A,300,N/A
2023-02-25T16:48:32.000+08:00,SensorTag,27.6,N/A,N/A
2023-02-25T16:48:32.000+08:00,SensorTag,N/A,N/A,49.10048065918974
2023-02-25T16:48:34.000+08:00,SensorTag,N/A,348,N/A
2023-02-25T16:48:34.000+08:00,SensorTag,27.8,N/A,N/A
2023-02-25T16:48:34.000+08:00,SensorTag,N/A,N/A,49.79934386205844
2023-02-25T16:48:36.000+08:00,SensorTag,N/A,N/A,49.90005340657664
2023-02-25T16:48:36.000+08:00,SensorTag,28,N/A,N/A
2023-02-25T16:48:36.000+08:00,SensorTag,N/A,329.92,N/A
2023-02-25T16:48:38.000+08:00,SensorTag,N/A,N/A,50.000762951094835
2023-02-25T16:48:38.000+08:00,SensorTag,29,N/A,N/A
2023-02-25T16:48:38.000+08:00,SensorTag,N/A,336,N/A
2023-02-25T16:48:40.000+08:00,SensorTag,N/A,324,N/A
2023-02-25T16:48:40.000+08:00,SensorTag,N/A,N/A,50.499732967116806
2023-02-25T16:48:40.000+08:00,SensorTag,29,N/A,N/A
2023-02-25T16:48:42.000+08:00,SensorTag,29.8,N/A,N/A
2023-02-25T16:48:42.000+08:00,SensorTag,N/A,N/A,50.499732967116806
2023-02-25T16:48:42.000+08:00,SensorTag,N/A,300,N/A
2023-02-25T16:48:44.000+08:00,SensorTag,N/A,N/A,50.89951934081025
